fifth_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_and_tilt_correction
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-03T150000_smart3-00551.ghg,2021-12-03,15:30,337.6457,36000,1.87212,0.100443E-12,-0.181260E-14,289.441,17.7456,500.972,0.865591E-01,-9999,-9999,-9999,285.697,101826.,294.215,0.266777,0.255945,0.507507E-01,0.232323E-01,0.617820E-03,143.685,0.467769E-07,-9999,-9999,-9999,0.325813E-02,6.79991,0.503656E-01,-0.381304E-01,-0.416373E-01,0.494443E-02,-2.79807,0.193624E-04,-9999,-0.853224E-02,-0.694986E-02,0.208052E-02,-0.433511,0.154345E-04,-9999,0.137193E-01,-0.215383E-02,1.09085,-0.674272E-05,-9999,-9999,-9999,0.106160E-02,0.128643E-01,0.516504,0.505910,0.225279,0.152421,0.248560E-01,11.9869,0.216280E-03,-9999,-9999,-9999,0.570800E-01,2.60766,0.286494,-0.450709,0.273439,-0.152078,-0.595678,0.219275,1.55484,-9999,-9999,-9999,-0.103414,0.917073,2.81155,3.18160,4.39937,3.29988,3.56129,2.69825,8.15344,-9999,-9999,-9999,2.24832,3.89942
2021-12-03T153000_smart3-00551.ghg,2021-12-03,16:00,337.6665,36000,1.63138,0.116071E-13,0.970409E-14,289.438,17.7736,495.787,0.867212E-01,-9999,-9999,-9999,285.513,101841.,289.225,0.305352,0.205248,0.399799E-01,0.561781E-02,0.329917E-03,104.061,0.964125E-07,-9999,-9999,-9999,0.167429E-02,22.6928,0.671545E-01,-0.353342E-01,-0.193479E-01,0.136431E-02,-1.85236,0.117419E-04,-9999,-0.930370E-02,-0.113724E-01,0.320814E-02,-1.43202,0.648623E-04,-9999,0.625703E-02,-0.621905E-03,0.801623,-0.504728E-05,-9999,-9999,-9999,-0.201588E-03,0.100295,0.552586,0.453043,0.199950,0.749520E-01,0.181636E-01,10.2010,0.310504E-03,-9999,-9999,-9999,0.409181E-01,4.76369,0.647436,0.179389,0.643241E-01,0.264261,0.892530,0.238788,2.38673,-9999,-9999,-9999,0.101248E-01,0.664005,2.93380,2.50291,3.80952,3.14334,3.94273,2.26041,10.1144,-9999,-9999,-9999,2.22761,2.41265
2021-12-03T160000_smart3-00551.ghg,2021-12-03,16:30,337.6873,36000,1.80870,-0.444882E-13,-0.851671E-15,289.447,17.8126,495.615,0.870327E-01,-9999,-9999,-9999,285.369,101858.,300.419,0.221437,0.213390,0.488599E-01,0.171539E-02,0.385348E-03,81.3587,0.744343E-06,-9999,-9999,-9999,0.387199E-02,38.5880,0.117021E-01,-0.329314E-01,-0.570024E-02,-0.784222E-03,-1.33542,-0.101847E-03,-9999,-0.639060E-02,-0.128018E-02,0.212346E-02,-0.669102E-01,0.110559E-03,-9999,0.173712E-02,-0.978805E-04,0.804323,-0.557546E-05,-9999,-9999,-9999,0.554191E-03,-0.165247E-01,0.470571,0.461941,0.221043,0.414173E-01,0.196303E-01,9.01991,0.862753E-03,-9999,-9999,-9999,0.622253E-01,6.21192,0.491655,-0.251507E-01,0.195914,0.393251,0.222043,0.100105,1.98205,-9999,-9999,-9999,-0.406604E-01,0.858134,3.32424,3.45001,3.65745,4.01164,3.01150,2.49078,6.18081,-9999,-9999,-9999,2.01980,2.49324
2021-12-03T163000_smart3-00551.ghg,2021-12-03,17:00,337.7082,36000,1.90831,-0.151426E-13,0.275284E-14,289.489,17.8335,492.335,0.866787E-01,-9999,-9999,-9999,285.316,101880.,319.498,0.227794,0.150248,0.435016E-01,0.169221E-02,0.797373E-03,50.9813,0.619046E-07,-9999,-9999,-9999,0.568043E-03,24.6905,0.190706E-01,-0.269282E-01,0.510721E-02,-0.460039E-02,-0.751803,-0.255831E-04,-9999,-0.643007E-02,0.603362E-04,-0.216020E-02,-0.199957,-0.232006E-04,-9999,-0.275562E-02,0.802649E-03,0.522925,-0.513643E-06,-9999,-9999,-9999,-0.840789E-04,-0.855763E-02,0.477277,0.387618,0.208570,0.411364E-01,0.282378E-01,7.14012,0.248806E-03,-9999,-9999,-9999,0.238337E-01,4.96896,0.380042,0.536224,0.145835E-02,0.709584E-01,-0.240486E-01,-0.285744,-0.261351,-9999,-9999,-9999,-0.220095,0.210928,3.35433,3.69834,3.72803,3.05497,2.63072,2.77501,2.16230,-9999,-9999,-9999,2.86451,2.41519
2021-12-03T170000_smart3-00551.ghg,2021-12-03,17:30,337.7290,36000,1.09495,0.184238E-13,0.206423E-15,289.502,17.9047,496.599,0.867846E-01,-9999,-9999,-9999,285.323,101889.,323.048,0.703439E-01,0.618083E-01,0.180947E-01,0.195313E-02,0.890144E-03,48.3231,0.544144E-07,-9999,-9999,-9999,0.260031E-03,5.97496,-0.102059E-01,-0.953760E-02,0.647839E-02,-0.461249E-02,-0.885639,0.352718E-06,-9999,0.239659E-03,-0.162369E-04,0.169804E-02,0.340394,-0.167933E-04,-9999,-0.182978E-02,0.114661E-02,0.333244,-0.596830E-06,-9999,-9999,-9999,0.145463E-03,0.577406E-03,0.265224,0.248613,0.134517,0.441943E-01,0.298353E-01,6.95148,0.233269E-03,-9999,-9999,-9999,0.161255E-01,2.44437,0.498349,0.319280,0.117362,0.428892,0.341097E-01,-0.186348,0.172284,-9999,-9999,-9999,-0.180155,0.390459,3.43755,3.29883,3.76474,3.41555,3.08756,2.65382,2.53598,-9999,-9999,-9999,2.79477,3.50608
2021-12-03T173000_smart3-00551.ghg,2021-12-03,18:00,337.7498,36000,0.892119,0.145199E-12,-0.398524E-14,289.546,17.8932,495.633,0.865726E-01,-9999,-9999,-9999,285.385,101899.,342.034,0.113224,0.151898,0.152324E-01,0.394448E-02,0.261589E-02,40.7558,0.584251E-07,-9999,-9999,-9999,0.107927E-02,9.33707,0.583733E-01,-0.822331E-02,0.984201E-02,-0.103177E-01,-0.795556,-0.456089E-04,-9999,-0.545274E-02,0.532620E-02,-0.104816E-01,-0.312644,-0.581707E-04,-9999,-0.273853E-02,0.149582E-02,0.251002,0.201767E-05,-9999,-9999,-9999,0.352528E-03,-0.255662E-01,0.336487,0.389740,0.123420,0.628051E-01,0.511458E-01,6.38403,0.241713E-03,-9999,-9999,-9999,0.328522E-01,3.05566,1.03762,0.645034,-0.209202,0.639587,-0.738544,-0.393609,-0.396448,-9999,-9999,-9999,-0.966667E-01,-0.292516,5.45552,3.51025,4.05455,3.58169,3.54990,3.10804,2.78204,-9999,-9999,-9999,2.28293,2.35666
2021-12-03T180000_smart3-00551.ghg,2021-12-03,18:30,337.7707,36000,0.548970,0.180298E-13,0.925080E-15,289.563,17.9178,495.125,0.862567E-01,-9999,-9999,-9999,285.454,101896.,31.1285,0.792414E-01,0.725916E-01,0.638528E-02,0.332328E-02,0.325176E-02,43.7621,0.220751E-07,-9999,-9999,-9999,0.183227E-02,23.8336,0.182992E-01,-0.379383E-02,0.255593E-02,-0.716586E-02,-0.676692,-0.242093E-05,-9999,-0.134452E-02,-0.212971E-02,-0.343008E-02,0.247857,0.442134E-06,-9999,-0.125384E-02,0.959056E-03,0.118906,0.310763E-06,-9999,-9999,-9999,-0.543301E-04,-0.192484E-01,0.281498,0.269428,0.799080E-01,0.576479E-01,0.570242E-01,6.61529,0.148577E-03,-9999,-9999,-9999,0.428051E-01,4.88197,0.243135,0.173353,-0.598966E-01,0.707427E-01,0.315285,-0.127845,0.166499,-9999,-9999,-9999,0.216992,0.180315E-01,2.21573,2.13305,4.78229,3.20431,3.14784,2.81973,3.76186,-9999,-9999,-9999,2.35932,1.90903
2021-12-03T183000_smart3-00551.ghg,2021-12-03,19:00,337.7915,36000,0.682271,0.686712E-14,-0.879358E-15,289.555,17.9144,499.736,0.862579E-01,-9999,-9999,-9999,285.466,101917.,18.7663,0.400819E-01,0.376445E-01,0.707797E-02,0.259826E-02,0.145372E-02,22.7935,0.520830E-07,-9999,-9999,-9999,0.614278E-03,61.0506,-0.793218E-02,-0.355594E-02,0.617408E-02,-0.406845E-02,-0.532485,-0.132123E-04,-9999,-0.341097E-03,-0.183892E-02,0.200310E-03,0.831012E-02,-0.174630E-04,-9999,-0.129483E-02,0.669097E-03,0.842670E-01,0.150513E-05,-9999,-9999,-9999,0.423703E-04,0.159699E-02,0.200205,0.194022,0.841307E-01,0.509731E-01,0.381277E-01,4.77425,0.228217E-03,-9999,-9999,-9999,0.247846E-01,7.81349,0.164909,-0.462992,-0.189390,0.134425,-0.151330,-0.670629,-0.375762,-9999,-9999,-9999,0.356182,-0.129206,2.50815,3.23236,3.87206,3.04402,3.45240,3.42760,2.89583,-9999,-9999,-9999,2.65744,1.83074
2021-12-03T190000_smart3-00551.ghg,2021-12-03,19:30,337.8123,36000,0.706032,-0.365406E-13,0.329463E-14,289.562,18.0225,499.171,0.863075E-01,-9999,-9999,-9999,285.479,101945.,20.4903,0.512628E-01,0.265905E-01,0.498879E-02,0.396674E-02,0.544980E-02,34.6938,0.195204E-07,-9999,-9999,-9999,0.133932E-02,54.1636,-0.998133E-02,-0.310107E-03,0.199715E-02,-0.212934E-02,-0.889180E-01,-0.682936E-05,-9999,0.226907E-03,-0.983917E-03,-0.187799E-02,0.299071,-0.410883E-05,-9999,-0.100372E-02,0.980215E-03,0.656814E-01,-0.147321E-06,-9999,-9999,-9999,0.113876E-03,0.579000E-01,0.226413,0.163066,0.706313E-01,0.629820E-01,0.738228E-01,5.89015,0.139715E-03,-9999,-9999,-9999,0.365967E-01,7.35959,-0.397066,-0.360961,0.269719E-01,1.39266,-0.514184,-0.129089,-0.173565,-9999,-9999,-9999,0.434666,-0.449421,3.26028,3.40565,4.87900,8.11498,4.38432,2.23151,3.40967,-9999,-9999,-9999,2.14870,2.42915
2021-12-03T193000_smart3-00551.ghg,2021-12-03,20:00,337.8331,36000,0.170340,0.137373E-12,0.134460E-13,289.640,17.9971,496.537,0.875904E-01,-9999,-9999,-9999,285.557,101965.,310.923,0.225366,0.103297,0.616147E-02,0.948530E-02,0.166667E-01,42.7777,0.918763E-06,-9999,-9999,-9999,0.144292E-02,19.5777,-0.108650,-0.189531E-01,0.252366E-01,-0.180768E-01,0.447381,0.103979E-03,-9999,0.753771E-02,-0.103668E-01,0.398371E-02,-0.821452,0.382851E-04,-9999,-0.289006E-02,0.229930E-02,0.612062E-01,-0.894701E-05,-9999,-9999,-9999,-0.587772E-03,-0.129834,0.474727,0.321398,0.784950E-01,0.973925E-01,0.129100,6.54047,0.958521E-03,-9999,-9999,-9999,0.379858E-01,4.42466,-0.638745,-0.406017,0.312674,-0.614289,1.82029,0.702633,-0.335780,-9999,-9999,-9999,-0.349052,0.333029,2.49937,3.13609,4.56488,3.14922,8.51139,2.68464,1.80103,-9999,-9999,-9999,2.71662,2.15640
