seventh_statistics:seventh_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_tilt_correction_time-lag_compensation_and_detrending
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-03T150000_smart3-00551.ghg,2021-12-03,15:30,337.6457,36000,1.87212,0.100443E-12,-0.181260E-14,289.441,17.7456,500.972,0.865591E-01,-9999,-9999,-9999,285.697,101826.,294.215,0.266777,0.255945,0.507507E-01,0.232323E-01,0.617820E-03,143.685,0.467723E-07,-9999,-9999,-9999,0.325813E-02,6.79991,0.503656E-01,-0.381304E-01,-0.416373E-01,0.494443E-02,-2.79807,0.201269E-04,-9999,-0.853224E-02,-0.694986E-02,0.208052E-02,-0.433511,0.157609E-04,-9999,0.137193E-01,-0.215383E-02,1.09085,-0.735080E-05,-9999,-9999,-9999,0.106160E-02,0.128643E-01,0.516504,0.505910,0.225279,0.152421,0.248560E-01,11.9869,0.216269E-03,-9999,-9999,-9999,0.570800E-01,2.60766,0.286494,-0.450709,0.273439,-0.152078,-0.595678,0.219275,1.55540,-9999,-9999,-9999,-0.103414,0.917073,2.81155,3.18160,4.39937,3.29988,3.56129,2.69825,8.15646,-9999,-9999,-9999,2.24833,3.89941
2021-12-03T153000_smart3-00551.ghg,2021-12-03,16:00,337.6665,36000,1.63138,0.116071E-13,0.970409E-14,289.438,17.7736,495.787,0.867213E-01,-9999,-9999,-9999,285.513,101841.,289.225,0.305352,0.205248,0.399799E-01,0.561780E-02,0.329917E-03,104.061,0.964248E-07,-9999,-9999,-9999,0.167429E-02,22.6928,0.671545E-01,-0.353342E-01,-0.193479E-01,0.136431E-02,-1.85236,0.121544E-04,-9999,-0.930370E-02,-0.113724E-01,0.320814E-02,-1.43202,0.652508E-04,-9999,0.625703E-02,-0.621905E-03,0.801623,-0.542241E-05,-9999,-9999,-9999,-0.201588E-03,0.100295,0.552586,0.453043,0.199950,0.749520E-01,0.181636E-01,10.2010,0.310523E-03,-9999,-9999,-9999,0.409181E-01,4.76369,0.647436,0.179389,0.643241E-01,0.264261,0.892530,0.238788,2.38649,-9999,-9999,-9999,0.101248E-01,0.664005,2.93380,2.50291,3.80952,3.14335,3.94273,2.26041,10.1128,-9999,-9999,-9999,2.22762,2.41265
2021-12-03T160000_smart3-00551.ghg,2021-12-03,16:30,337.6873,36000,1.80870,-0.444882E-13,-0.851671E-15,289.447,17.8126,495.615,0.870326E-01,-9999,-9999,-9999,285.369,101858.,300.419,0.221437,0.213390,0.488599E-01,0.171539E-02,0.385385E-03,81.3587,0.744316E-06,-9999,-9999,-9999,0.387199E-02,38.5880,0.117021E-01,-0.329314E-01,-0.570024E-02,-0.788011E-03,-1.33542,-0.101098E-03,-9999,-0.639060E-02,-0.128018E-02,0.213264E-02,-0.669102E-01,0.111063E-03,-9999,0.173712E-02,-0.102885E-03,0.804323,-0.591962E-05,-9999,-9999,-9999,0.554191E-03,-0.165247E-01,0.470571,0.461941,0.221043,0.414172E-01,0.196312E-01,9.01991,0.862738E-03,-9999,-9999,-9999,0.622253E-01,6.21192,0.491655,-0.251507E-01,0.195914,0.393252,0.222154,0.100105,1.98292,-9999,-9999,-9999,-0.406604E-01,0.858134,3.32424,3.45001,3.65745,4.01167,3.01130,2.49078,6.18383,-9999,-9999,-9999,2.01981,2.49324
2021-12-03T163000_smart3-00551.ghg,2021-12-03,17:00,337.7082,36000,1.90831,-0.151426E-13,0.275284E-14,289.489,17.8335,492.335,0.866787E-01,-9999,-9999,-9999,285.316,101880.,319.498,0.227794,0.150248,0.435016E-01,0.169220E-02,0.797392E-03,50.9827,0.619135E-07,-9999,-9999,-9999,0.568039E-03,24.6905,0.190706E-01,-0.269282E-01,0.510721E-02,-0.460910E-02,-0.757684,-0.243217E-04,-9999,-0.643007E-02,0.603362E-04,-0.217629E-02,-0.211367,-0.230054E-04,-9999,-0.275562E-02,0.803360E-03,0.525984,-0.137039E-05,-9999,-9999,-9999,-0.840789E-04,-0.855763E-02,0.477277,0.387618,0.208570,0.411364E-01,0.282381E-01,7.14021,0.248824E-03,-9999,-9999,-9999,0.238336E-01,4.96896,0.380042,0.536224,0.145835E-02,0.709587E-01,-0.240751E-01,-0.285750,-0.260857,-9999,-9999,-9999,-0.220097,0.210928,3.35433,3.69834,3.72803,3.05498,2.63067,2.77494,2.16196,-9999,-9999,-9999,2.86456,2.41519
2021-12-03T170000_smart3-00551.ghg,2021-12-03,17:30,337.7290,36000,1.09495,0.184238E-13,0.206423E-15,289.502,17.9047,496.600,0.867844E-01,-9999,-9999,-9999,285.323,101889.,323.048,0.703439E-01,0.618083E-01,0.180947E-01,0.195313E-02,0.890145E-03,48.3235,0.543912E-07,-9999,-9999,-9999,0.260026E-03,5.97496,-0.102059E-01,-0.953760E-02,0.647839E-02,-0.461988E-02,-0.887890,0.720023E-06,-9999,0.239659E-03,-0.162369E-04,0.168873E-02,0.338137,-0.170728E-04,-9999,-0.182978E-02,0.114971E-02,0.335292,-0.117307E-05,-9999,-9999,-9999,0.145463E-03,0.577406E-03,0.265224,0.248613,0.134517,0.441942E-01,0.298353E-01,6.95151,0.233219E-03,-9999,-9999,-9999,0.161253E-01,2.44437,0.498349,0.319280,0.117362,0.428893,0.340550E-01,-0.186404,0.173039,-9999,-9999,-9999,-0.180160,0.390459,3.43755,3.29883,3.76474,3.41557,3.08761,2.65385,2.53769,-9999,-9999,-9999,2.79488,3.50608
2021-12-03T173000_smart3-00551.ghg,2021-12-03,18:00,337.7498,36000,0.892119,0.145199E-12,-0.398524E-14,289.546,17.8932,495.633,0.865726E-01,-9999,-9999,-9999,285.385,101899.,342.034,0.113224,0.151898,0.152324E-01,0.394447E-02,0.261604E-02,40.7576,0.584261E-07,-9999,-9999,-9999,0.107927E-02,9.33707,0.583733E-01,-0.822331E-02,0.984201E-02,-0.103619E-01,-0.802927,-0.455838E-04,-9999,-0.545274E-02,0.532620E-02,-0.104734E-01,-0.313560,-0.582109E-04,-9999,-0.273853E-02,0.152769E-02,0.255892,0.202667E-05,-9999,-9999,-9999,0.352528E-03,-0.255662E-01,0.336487,0.389740,0.123420,0.628050E-01,0.511472E-01,6.38416,0.241715E-03,-9999,-9999,-9999,0.328522E-01,3.05566,1.03762,0.645034,-0.209202,0.639588,-0.738665,-0.393747,-0.396493,-9999,-9999,-9999,-0.966672E-01,-0.292516,5.45552,3.51025,4.05455,3.58170,3.54993,3.10809,2.78205,-9999,-9999,-9999,2.28294,2.35666
2021-12-03T180000_smart3-00551.ghg,2021-12-03,18:30,337.7707,36000,0.548970,0.180298E-13,0.925080E-15,289.563,17.9178,495.125,0.862568E-01,-9999,-9999,-9999,285.454,101896.,31.1285,0.792414E-01,0.725916E-01,0.638528E-02,0.332327E-02,0.325219E-02,43.7656,0.220739E-07,-9999,-9999,-9999,0.183227E-02,23.8336,0.182992E-01,-0.379383E-02,0.255593E-02,-0.722965E-02,-0.683208,-0.241440E-05,-9999,-0.134452E-02,-0.212971E-02,-0.342302E-02,0.249319,0.454089E-06,-9999,-0.125384E-02,0.992572E-03,0.123030,0.324067E-06,-9999,-9999,-9999,-0.543301E-04,-0.192484E-01,0.281498,0.269428,0.799080E-01,0.576478E-01,0.570280E-01,6.61555,0.148573E-03,-9999,-9999,-9999,0.428050E-01,4.88197,0.243135,0.173353,-0.598966E-01,0.707428E-01,0.315354,-0.127618,0.166517,-9999,-9999,-9999,0.216993,0.180315E-01,2.21573,2.13305,4.78229,3.20432,3.14748,2.81960,3.76210,-9999,-9999,-9999,2.35934,1.90903
2021-12-03T183000_smart3-00551.ghg,2021-12-03,19:00,337.7915,36000,0.682271,0.686712E-14,-0.879358E-15,289.555,17.9144,499.739,0.862579E-01,-9999,-9999,-9999,285.466,101917.,18.7663,0.400819E-01,0.376445E-01,0.707797E-02,0.259825E-02,0.145160E-02,22.7539,0.520903E-07,-9999,-9999,-9999,0.614273E-03,61.0506,-0.793218E-02,-0.355594E-02,0.617408E-02,-0.414852E-02,-0.541354,-0.131997E-04,-9999,-0.341097E-03,-0.183892E-02,0.210783E-03,0.895650E-02,-0.174185E-04,-9999,-0.129483E-02,0.757829E-03,0.949251E-01,0.155367E-05,-9999,-9999,-9999,0.423703E-04,0.159699E-02,0.200205,0.194022,0.841307E-01,0.509731E-01,0.380999E-01,4.77011,0.228233E-03,-9999,-9999,-9999,0.247845E-01,7.81349,0.164909,-0.462992,-0.189390,0.134425,-0.148155,-0.667734,-0.375991,-9999,-9999,-9999,0.356186,-0.129206,2.50815,3.23236,3.87206,3.04403,3.44743,3.41976,2.89570,-9999,-9999,-9999,2.65748,1.83074
2021-12-03T190000_smart3-00551.ghg,2021-12-03,19:30,337.8123,36000,0.706032,-0.365406E-13,0.329463E-14,289.562,18.0225,499.171,0.863075E-01,-9999,-9999,-9999,285.479,101945.,20.4903,0.512628E-01,0.265905E-01,0.498879E-02,0.396673E-02,0.544898E-02,34.6994,0.195249E-07,-9999,-9999,-9999,0.133932E-02,54.1636,-0.998133E-02,-0.310107E-03,0.199715E-02,-0.224144E-02,-0.982137E-01,-0.693631E-05,-9999,0.226907E-03,-0.983917E-03,-0.187592E-02,0.302549,-0.405085E-05,-9999,-0.100372E-02,0.106743E-02,0.741841E-01,-0.323465E-06,-9999,-9999,-9999,0.113876E-03,0.579000E-01,0.226413,0.163066,0.706313E-01,0.629820E-01,0.738172E-01,5.89062,0.139731E-03,-9999,-9999,-9999,0.365967E-01,7.35959,-0.397066,-0.360961,0.269719E-01,1.39267,-0.514637,-0.128994,-0.173960,-9999,-9999,-9999,0.434668,-0.449421,3.26028,3.40565,4.87900,8.11499,4.38624,2.23115,3.40952,-9999,-9999,-9999,2.14871,2.42915
2021-12-03T193000_smart3-00551.ghg,2021-12-03,20:00,337.8331,36000,0.170340,0.137373E-12,0.134460E-13,289.640,17.9971,496.537,0.875904E-01,-9999,-9999,-9999,285.557,101965.,310.923,0.225366,0.103297,0.616147E-02,0.948530E-02,0.166671E-01,42.7819,0.918763E-06,-9999,-9999,-9999,0.144291E-02,19.5777,-0.108650,-0.189531E-01,0.252366E-01,-0.181475E-01,0.445705,0.103979E-03,-9999,0.753771E-02,-0.103668E-01,0.398114E-02,-0.821789,0.382851E-04,-9999,-0.289006E-02,0.231856E-02,0.622707E-01,-0.894701E-05,-9999,-9999,-9999,-0.587772E-03,-0.129834,0.474727,0.321398,0.784950E-01,0.973925E-01,0.129101,6.54079,0.958521E-03,-9999,-9999,-9999,0.379857E-01,4.42466,-0.638745,-0.406017,0.312674,-0.614290,1.82021,0.702497,-0.335780,-9999,-9999,-9999,-0.349054,0.333029,2.49937,3.13609,4.56488,3.14922,8.51118,2.68431,1.80103,-9999,-9999,-9999,2.71664,2.15640
2021-12-03T200000_smart3-00551.ghg,2021-12-03,20:30,337.8540,36000,0.662613,0.157036E-12,0.287553E-14,289.680,17.8795,508.430,0.852174E-01,-9999,-9999,-9999,285.582,101984.,323.099,0.181666,0.585865E-01,0.101523E-01,0.728701E-02,0.417294E-01,42.3826,0.452815E-06,-9999,-9999,-9999,0.145066E-02,78.8396,0.688999E-01,-0.963551E-02,0.239386E-01,-0.692951E-01,-0.578540,-0.234934E-03,-9999,-0.309613E-02,0.662204E-02,-0.254151E-01,0.891588E-01,-0.103596E-03,-9999,-0.295666E-02,0.387317E-02,0.165384,0.723111E-05,-9999,-9999,-9999,-0.421929E-03,-0.808138E-01,0.426222,0.242046,0.100759,0.853640E-01,0.204278,6.51019,0.672915E-03,-9999,-9999,-9999,0.380876E-01,8.87916,-0.500163E-02,0.953659E-02,-0.102423,0.657716,0.923211,0.337574,1.00453,-9999,-9999,-9999,-0.386786,0.173743,1.83646,2.19892,5.71934,3.48358,3.40616,4.13418,3.62158,-9999,-9999,-9999,2.29842,1.68901
2021-12-03T203000_smart3-00551.ghg,2021-12-03,21:00,337.8748,36000,1.09205,-0.111679E-13,0.689013E-15,289.757,17.7049,499.891,0.853647E-01,-9999,-9999,-9999,285.630,102003.,295.689,0.888037E-01,0.715934E-01,0.163411E-01,0.163969E-01,0.495340E-02,64.2826,0.540589E-06,-9999,-9999,-9999,0.245628E-02,9.20519,0.120729E-01,-0.100951E-01,0.235591E-01,-0.851924E-02,-1.30366,0.263582E-04,-9999,-0.144932E-02,0.179899E-02,-0.409587E-02,-0.480170,0.237899E-04,-9999,-0.451745E-02,0.152985E-02,0.245350,-0.425869E-05,-9999,-9999,-9999,0.806614E-04,-0.133072E-01,0.297999,0.267569,0.127832,0.128051,0.703804E-01,8.01764,0.735248E-03,-9999,-9999,-9999,0.495609E-01,3.03401,0.744763,0.253653,0.493724E-01,0.958468,-0.391057E-02,-0.645233,1.25205,-9999,-9999,-9999,0.906753,-0.300152,3.11964,3.97119,4.51999,3.90621,2.37908,3.36840,4.09602,-9999,-9999,-9999,4.28444,3.10084
2021-12-03T210000_smart3-00551.ghg,2021-12-03,21:30,337.8956,36000,0.141226,-0.698565E-13,0.101245E-15,289.711,17.8163,498.524,0.855073E-01,-9999,-9999,-9999,285.676,102003.,219.300,0.484835E-01,0.157055,0.587668E-02,0.717292E-02,0.137494E-01,39.7084,0.102937E-05,-9999,-9999,-9999,0.321973E-02,9.90329,-0.434402E-01,-0.429709E-02,0.516507E-02,-0.141623E-01,0.299116,-0.109742E-03,-9999,0.686518E-02,-0.367854E-02,0.121239E-01,-1.15161,0.755764E-04,-9999,-0.151309E-02,0.180455E-02,-0.486304E-02,0.111581E-04,-9999,-9999,-9999,0.140855E-03,0.195627E-01,0.220190,0.396301,0.766595E-01,0.846931E-01,0.117258,6.30146,0.101458E-02,-9999,-9999,-9999,0.567427E-01,3.14695,1.46461,-0.563562,-0.382575,-0.311788,0.661535,0.699495,1.50966,-9999,-9999,-9999,-0.168680,0.102421,5.81054,1.95353,7.31673,3.14765,2.89267,2.60290,4.23173,-9999,-9999,-9999,2.02930,2.08087
2021-12-03T213000_smart3-00551.ghg,2021-12-03,22:00,337.9165,36000,0.528253,0.160963E-13,0.137202E-14,289.801,17.8252,503.737,0.863680E-01,-9999,-9999,-9999,285.684,102011.,292.683,0.268637,0.505279E-01,0.908581E-02,0.100985E-01,0.182293E-01,34.6337,0.206473E-05,-9999,-9999,-9999,0.107497E-02,13.1481,0.258529E-02,-0.772389E-02,0.117542E-01,-0.479100E-01,0.537316,-0.141281E-03,-9999,0.816823E-03,0.556553E-02,0.273666E-02,-0.425745,0.217838E-03,-9999,-0.196268E-02,0.162596E-02,0.957246E-01,0.102755E-05,-9999,-9999,-9999,0.261561E-03,-0.183335E-01,0.518302,0.224784,0.953195E-01,0.100491,0.135016,5.88504,0.143692E-02,-9999,-9999,-9999,0.327867E-01,3.62602,0.462486,0.635252,-0.673868,0.278234,0.633202,-0.511504E-01,0.839076,-9999,-9999,-9999,-0.899760E-01,0.489757,2.01067,4.03457,7.62174,2.61461,2.60121,2.72006,2.83263,-9999,-9999,-9999,3.01058,2.87996
