first_statistics:_on_raw_data
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-19T163000_smart3-00551.ghg,2021-12-19,17:00,353.7082,36000,0.616662,-2.35932,-0.725931E-01,288.551,17.6506,407.437,0.884092E-01,-9999,-9999,-9999,284.290,101822.,264.399,0.360424,0.476051,0.119412,0.269643E-01,0.160138E-02,23.5331,0.724960E-05,-9999,-9999,-9999,0.327445E-01,64.8688,-0.480821E-01,-0.400478E-01,0.159573E-01,-0.794564E-02,-1.29144,-0.509854E-03,-9999,0.820644E-01,-0.563660E-01,0.998907E-02,1.24633,0.119907E-03,-9999,-0.196069E-01,0.242424E-02,0.555458,0.422278E-04,-9999,-9999,-9999,0.144692E-02,-0.168239E-01,0.600354,0.689964,0.345561,0.164208,0.400173E-01,4.85109,0.269251E-02,-9999,-9999,-9999,0.180954,8.05412,0.341055E-02,-0.571477,-0.177670,0.710008E-02,0.620440,0.304093,0.804259,-9999,-9999,-9999,0.518512,0.432592,4.00719,3.46539,4.05720,2.48525,2.81935,3.30314,2.45241,-9999,-9999,-9999,1.77359,2.01366
2021-12-19T170000_smart3-00551.ghg,2021-12-19,17:30,353.7290,36000,0.169604,-2.64632,-0.598451E-01,288.489,17.6814,408.157,0.917247E-01,-9999,-9999,-9999,284.019,101844.,275.209,0.231486,0.523326,0.996037E-01,0.384463E-01,0.278053E-02,15.6634,0.502584E-05,-9999,-9999,-9999,0.105330E-01,34.9145,0.202767E-02,-0.103114E-01,0.615624E-02,0.350991E-02,-0.312368,0.128451E-03,-9999,0.839075E-01,-0.883319E-01,0.158882E-01,1.86136,0.233476E-03,-9999,-0.251078E-01,0.264169E-02,0.405249,0.293848E-04,-9999,-9999,-9999,-0.162792E-02,0.102768,0.481129,0.723413,0.315600,0.196077,0.527307E-01,3.95771,0.224184E-02,-9999,-9999,-9999,0.102631,5.90885,0.198610,-0.645483,-0.137805,0.362350,0.477907,-0.323535,0.405586,-9999,-9999,-9999,0.450185,0.117981,3.65386,3.39709,3.97067,2.72552,2.81026,2.84444,2.46850,-9999,-9999,-9999,2.17061,2.19390
2021-12-19T173000_smart3-00551.ghg,2021-12-19,18:00,353.7498,36000,0.523213,-2.20955,-0.441866E-01,288.523,17.7112,408.946,0.895594E-01,-9999,-9999,-9999,284.076,101863.,265.851,0.229252,0.445856,0.946170E-01,0.343980E-01,0.637432E-02,25.1381,0.195642E-04,-9999,-9999,-9999,0.730738E-02,16.0074,-0.754212E-01,-0.192314E-01,0.206749E-01,-0.130214E-01,-0.898520,-0.647808E-03,-9999,0.719208E-01,-0.606964E-01,0.273325E-01,1.95974,0.109110E-02,-9999,-0.225162E-01,0.258357E-02,0.394445,0.112362E-04,-9999,-9999,-9999,0.141185E-03,0.223982E-01,0.478803,0.667724,0.307599,0.185467,0.798394E-01,5.01379,0.442315E-02,-9999,-9999,-9999,0.854832E-01,4.00093,0.503029,-0.492097,-0.140121E-01,-0.747955E-01,0.543897,-0.408230,0.530337,-9999,-9999,-9999,-0.741175,-0.635526E-01,4.03065,2.96194,4.24085,2.72210,2.13353,2.67062,1.72948,-9999,-9999,-9999,2.79337,2.03124
2021-12-19T180000_smart3-00551.ghg,2021-12-19,18:30,353.7707,36000,0.573136,-2.09713,-0.548497E-01,288.249,17.6700,401.842,0.864293E-01,-9999,-9999,-9999,283.760,101861.,263.887,0.239288,0.346416,0.902914E-01,0.529465E-01,0.987504E-03,14.4250,0.580410E-06,-9999,-9999,-9999,0.805971E-02,19.1661,-0.433448E-01,-0.271996E-01,0.190483E-01,-0.275034E-02,-0.962492,-0.104784E-03,-9999,0.549751E-01,-0.912682E-01,0.106379E-01,0.479606,-0.185259E-04,-9999,-0.218844E-01,0.247684E-02,0.335701,0.194036E-04,-9999,-9999,-9999,0.385472E-03,-0.578302E-02,0.489171,0.588571,0.300485,0.230101,0.314246E-01,3.79802,0.761846E-03,-9999,-9999,-9999,0.897759E-01,4.37791,0.320842,-0.499375,-0.167540,0.238221,-0.181337,0.764131E-01,4.55748,-9999,-9999,-9999,0.258820,0.756307,3.51062,3.32571,3.85210,2.80128,2.88746,2.33076,28.0107,-9999,-9999,-9999,2.40080,3.09959
2021-12-19T183000_smart3-00551.ghg,2021-12-19,19:00,353.7915,36000,0.857647,-2.00118,-0.892884E-01,288.169,17.6974,399.842,0.861607E-01,-9999,-9999,-9999,283.663,101880.,255.737,0.223967,0.346924,0.101906,0.482909E-01,0.971976E-03,6.99209,0.295736E-07,-9999,-9999,-9999,0.619324E-02,18.3260,-0.518607E-01,-0.325126E-01,0.325540E-01,-0.464510E-02,-0.312403,-0.127359E-04,-9999,0.620142E-01,-0.816041E-01,0.107492E-01,0.786216,0.304737E-04,-9999,-0.253164E-01,0.299053E-02,0.258476,0.109285E-04,-9999,-9999,-9999,-0.145958E-02,0.292694E-01,0.473251,0.589002,0.319226,0.219752,0.311765E-01,2.64426,0.171970E-03,-9999,-9999,-9999,0.786971E-01,4.28088,0.107883,-0.402795,-0.113648,0.271638,-0.249367,-0.761370E-01,1.62588,-9999,-9999,-9999,0.350824,-0.356113,3.35651,3.11230,3.62586,2.89498,2.89118,2.99767,13.5223,-9999,-9999,-9999,2.41105,2.82930
2021-12-19T190000_smart3-00551.ghg,2021-12-19,19:30,353.8123,36000,0.617146,-1.64143,-0.522101E-01,287.968,17.7529,399.413,0.865101E-01,-9999,-9999,-9999,283.332,101897.,258.378,0.140649,0.235320,0.616732E-01,0.619455E-01,0.174574E-02,4.24618,0.313848E-07,-9999,-9999,-9999,0.334768E-01,25.7972,-0.398281E-01,-0.165471E-01,0.286266E-01,-0.422293E-02,0.399139E-02,-0.133398E-04,-9999,0.353991E-01,-0.805415E-01,0.138018E-01,0.158416,0.416591E-04,-9999,-0.202358E-01,0.241102E-02,0.682210E-01,0.101607E-04,-9999,-9999,-9999,-0.138925E-02,0.525234E-01,0.375032,0.485098,0.248341,0.248888,0.417820E-01,2.06063,0.177158E-03,-9999,-9999,-9999,0.182967,5.07909,0.111841,-0.469529,-0.259408,0.192068,0.254327,-0.506206,2.13517,-9999,-9999,-9999,-0.330600,-0.253259,3.13445,3.42433,4.34384,3.08549,3.15181,2.92724,15.4177,-9999,-9999,-9999,2.14590,1.80468
2021-12-19T193000_smart3-00551.ghg,2021-12-19,20:00,353.8331,36000,0.630803,-0.969435,-0.486460E-01,287.564,17.8376,392.107,0.866737E-01,-9999,-9999,-9999,282.690,101909.,243.674,0.923754E-01,0.235225,0.411832E-01,0.876741E-01,0.345713E-02,4.80423,0.462832E-07,-9999,-9999,-9999,0.391538E-01,12.5651,-0.364700E-01,-0.115959E-01,0.263691E-01,-0.379293E-02,0.143413,-0.137690E-04,-9999,0.254017E-01,-0.997830E-01,0.198002E-01,-0.250442,0.487396E-04,-9999,-0.183299E-01,0.286142E-02,-0.135770E-01,0.110050E-04,-9999,-9999,-9999,-0.132587E-02,0.160707E-01,0.303933,0.485000,0.202937,0.296098,0.587973E-01,2.19185,0.215135E-03,-9999,-9999,-9999,0.197873,3.54473,0.733211,-0.430794,-0.357616,0.135946,0.530912,0.390330,1.87201,-9999,-9999,-9999,-0.308047,0.382581,4.27889,3.95598,4.36803,3.53886,6.20359,2.85221,14.8698,-9999,-9999,-9999,2.60866,2.75173
2021-12-19T200000_smart3-00551.ghg,2021-12-19,20:30,353.8540,36000,0.276182,0.385872,0.233885E-01,285.965,18.3357,388.135,0.872424E-01,-9999,-9999,-9999,281.509,101915.,131.142,0.992101E-01,0.745093E-01,0.588342E-02,0.408930,0.966293E-01,8.23938,0.308773E-06,-9999,-9999,-9999,0.120945,5.50196,0.229777E-01,0.417200E-02,-0.889541E-01,0.491745E-01,0.361357E-01,0.566491E-04,-9999,0.466787E-02,-0.327160E-01,0.201945E-01,0.231906,0.189124E-04,-9999,-0.633646E-02,0.285461E-02,-0.915592E-02,0.318605E-05,-9999,-9999,-9999,0.506740E-03,0.287766E-03,0.314976,0.272964,0.767034E-01,0.639477,0.310853,2.87043,0.555673E-03,-9999,-9999,-9999,0.347771,2.34563,-0.101063,0.956676E-01,-0.347961,0.197319,0.602491,-1.09200,0.461355,-9999,-9999,-9999,0.159035,-0.690736E-01,2.17838,2.47411,3.65623,2.34206,2.08178,5.72857,2.49203,-9999,-9999,-9999,2.33256,2.93117
2021-12-19T203000_smart3-00551.ghg,2021-12-19,21:00,353.8748,36000,0.716573,0.511924,0.481035E-01,284.872,18.8772,380.663,0.888496E-01,-9999,-9999,-9999,280.649,101926.,154.104,0.851815E-01,0.110082,0.535384E-02,0.215955,0.207608E-01,23.7935,0.167402E-06,-9999,-9999,-9999,0.455903E-01,89.2133,-0.286017E-01,0.130408E-02,0.565691E-02,-0.440906E-02,0.303473,-0.801996E-05,-9999,0.618829E-02,0.289981E-01,-0.516618E-03,0.990036E-01,0.123776E-04,-9999,-0.439762E-03,-0.124444E-04,0.185053E-03,0.226246E-05,-9999,-9999,-9999,0.104748E-02,-0.365483E-01,0.291859,0.331786,0.731699E-01,0.464710,0.144086,4.87786,0.409148E-03,-9999,-9999,-9999,0.213519,9.44528,-0.335433,0.526685,-0.106747,0.642572E-01,-1.07334,-0.149440,-0.205714,-9999,-9999,-9999,0.109098,0.238215,2.72317,2.90239,4.66578,3.63386,5.24373,2.60168,2.89639,-9999,-9999,-9999,1.60629,1.55325
2021-12-19T210000_smart3-00551.ghg,2021-12-19,21:30,353.8956,36000,0.279632,0.177559,0.929104E-02,284.200,19.0165,359.070,0.896575E-01,-9999,-9999,-9999,279.955,101942.,137.163,0.264358,0.267398,0.107420E-01,0.319994,0.324344E-01,108.069,0.158526E-05,-9999,-9999,-9999,0.273843E-01,9.19003,-0.940460E-01,-0.571498E-02,-0.163975,0.577330E-01,1.67204,0.157657E-03,-9999,0.125091E-01,0.182617,-0.416992E-01,-0.283734,-0.173222E-03,-9999,0.309226E-02,-0.523106E-03,-0.322856E-01,-0.143573E-04,-9999,-9999,-9999,0.421077E-02,-0.200206E-01,0.514158,0.517105,0.103644,0.565680,0.180096,10.3956,0.125907E-02,-9999,-9999,-9999,0.165482,3.03151,-0.506999,-1.16751,-0.687201,-0.270586,-0.322387,-0.371010,1.41514,-9999,-9999,-9999,0.332179,-0.187699,3.79975,3.87481,5.39026,3.17054,3.65918,2.50710,4.97439,-9999,-9999,-9999,2.45248,2.61604
